R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,80,47,58,70,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi,PIDiRelaxWeightX
14936,0,-12288,101376,92160,-22968,-11309,6024,-40301,0,1024
14941,0,-12288,116736,61440,-26448,-11732,15307,-53487,0,1024
14946,0,-12288,143360,9216,-32480,-12074,37958,-82512,0,1024
14951,0,-12288,115712,-60416,-26216,-12394,22926,-61536,0,1024
14956,0,-12288,101376,-89088,-22968,-12805,11589,-47362,0,1024
14961,0,-12288,61440,-83968,-13920,-13186,-20448,-6658,0,1024
14966,0,-15360,65536,16384,-14848,-13499,-13736,-14611,0,1024
14971,0,-15360,99328,22528,-22504,-13740,22444,-58688,0,1024
14976,0,-18432,50176,125952,-11368,-13855,-850,-24373,0,1024
14981,0,-18432,-15360,135168,3480,-13727,-37155,26908,0,4096
14986,0,-18432,-31744,57344,7192,-13489,-38544,32247,0,4096
14991,0,-18432,-78848,-11264,17864,-13239,-69032,73657,0,4096
14996,0,-18432,-66560,-38912,15080,-13098,-59772,61754,0,4096
15001,0,-21504,-15360,-77824,3480,-13099,-26082,16463,0,4096
15006,0,-33792,34816,-69632,-7888,-13281,872,-22041,0,1024
15011,0,-33792,94208,-68608,-21344,-13532,34263,-69139,0,1024
15017,0,-33792,146432,-125952,-33176,-13901,59289,-106366,0,1024
15022,0,-39936,148480,-133120,-33640,-14335,46518,-94493,0,1024
15027,0,-39936,132096,-136192,-29928,-14849,20573,-65350,0,1024
15032,0,-52224,168960,-168960,-38280,-15533,29994,-83807,0,1024
15037,0,-67584,162816,-118784,-36888,-16190,13276,-66354,0,1024
15042,0,-67584,174080,-59392,-49184,-16957,42995,-109136,0,1024
15047,0,-82944,229376,-7168,-51968,-17655,46747,-116370,0,1024
