R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000000,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
388.048,85.636,-0.421,-0.404,4.585,4.492,2.292
388.059,75.386,0.542,-0.346,5.114,5.013,3.093
388.069,65.700,0.321,-0.285,5.574,5.483,3.800
388.079,53.210,-0.792,-0.294,5.849,5.776,4.391
388.089,41.306,-0.982,-0.361,6.019,5.950,4.856
388.100,23.503,-1.417,-0.464,5.870,5.806,5.166
388.110,4.810,-1.307,-0.556,5.517,5.451,5.281
388.120,-14.229,-1.550,-0.658,4.945,4.882,5.198
388.130,-32.363,-0.223,-0.690,4.236,4.148,4.930
388.140,-48.561,-0.083,-0.652,3.366,3.273,4.483
388.151,-63.937,-2.491,-0.769,2.364,2.301,3.886
388.161,-74.498,-2.062,-0.933,1.371,1.299,3.152
388.171,-85.065,-1.506,-1.006,0.289,0.207,2.322
388.181,-88.853,-1.786,-1.083,-0.733,-0.814,1.408
